aircraft_type,country,type_of_travellers,route,seat_types,seat_comfort,cabin_staff_service,ground_service,food_beverages,wifi_connectivity,inflight_entertainment,value_for_money,recommended
A350,Germany,Business,Hamburg to Las Vegas via London,Premium Economy,2.0,2.0,1.0,2.0,0.0,3.0,1.0,no
A320,United Kingdom,Couple Leisure,London Heathrow to Porto,Business Class,3.0,4.0,4.0,3.0,0.0,0.0,4.0,yes
Boeing 787,United Kingdom,Couple Leisure,London to Santiago,Business Class,3.0,5.0,2.0,4.0,0.0,0.0,5.0,yes
A320,United Kingdom,Couple Leisure,London Heathrow to Faro,Business Class,0.0,0.0,1.0,0.0,0.0,0.0,1.0,no
A320,Germany,Couple Leisure,London to Munich,Economy Class,1.0,3.0,1.0,1.0,1.0,1.0,1.0,no
A321,Iceland,Couple Leisure,London to Keflavik,Business Class,3.0,4.0,4.0,3.0,3.0,0.0,4.0,yes
Boeing 777-200,Iceland,Couple Leisure,Mumbai to London,Business Class,4.0,3.0,4.0,3.0,3.0,3.0,4.0,yes
A380,Australia,Solo Leisure,London to Miami,Business Class,1.0,1.0,3.0,2.0,0.0,1.0,1.0,no
A321,United Kingdom,Couple Leisure,London to Lanzarote,Economy Class,3.0,2.0,2.0,0.0,0.0,1.0,3.0,no
A320,United Kingdom,Solo Leisure,London to Malaga,Business Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
A320,United Kingdom,Couple Leisure,Tenerife to Gatwick,Business Class,1.0,3.0,1.0,1.0,1.0,0.0,1.0,no
A320,United Kingdom,Business,London Heathrow to Malaga ,Business Class,2.0,2.0,1.0,2.0,1.0,0.0,2.0,no
Boeing 777-300,United States,Couple Leisure,LHR to LAX,Business Class,4.0,5.0,5.0,3.0,0.0,5.0,4.0,yes
A320neo,United Kingdom,Solo Leisure,Larnaca to London Heathrow,Business Class,3.0,3.0,3.0,1.0,0.0,0.0,1.0,yes
A380,United States,Family Leisure,Washington to London,Economy Class,4.0,5.0,1.0,3.0,0.0,2.0,4.0,yes
A380,United Kingdom,Family Leisure,London to Miami,Business Class,4.0,5.0,4.0,5.0,5.0,5.0,4.0,yes
Embraer-190,United Kingdom,Couple Leisure,Edinburgh to London City,Economy Class,4.0,4.0,5.0,3.0,0.0,0.0,5.0,yes
A380 / A320,Poland,Business,San Francisco to Warsaw via London,Economy Class,3.0,5.0,1.0,4.0,3.0,5.0,1.0,no
Embraer,United Kingdom,Business,Frankfurt to London City,Economy Class,3.0,3.0,1.0,1.0,0.0,0.0,1.0,no
Boeing 777,Hong Kong,Solo Leisure,London to Hong Kong,Business Class,5.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
Boeing 787-8,Iceland,Couple Leisure,London to Mumbai,Business Class,4.0,5.0,4.0,5.0,0.0,3.0,4.0,yes
A320,Iceland,Couple Leisure,Keflavik  to London,Business Class,3.0,5.0,2.0,4.0,4.0,0.0,3.0,yes
A321,Qatar,Family Leisure,Madrid to London,Business Class,1.0,1.0,1.0,0.0,0.0,0.0,1.0,no
E190,United Kingdom,Business,Amsterdam to London City ,Economy Class,3.0,4.0,1.0,3.0,0.0,0.0,2.0,no
A320,United Kingdom,Couple Leisure,Dalaman to Gatwick ,Business Class,3.0,5.0,5.0,4.0,0.0,0.0,3.0,no
Boeing 787,United Kingdom,Solo Leisure,Seattle to London Heathrow,Economy Class,2.0,2.0,3.0,1.0,0.0,3.0,3.0,no
A320,United Kingdom,Couple Leisure,Gatwick to Dalaman ,Economy Class,1.0,1.0,1.0,1.0,0.0,0.0,1.0,no
